850490912954351616,Alex Brosas another idiot #ALDUBKSGoesToUS  https://t.co/14G7hFwVQm
850409232440729601,Paid journalist..WHAT A WASTE OF PAPER... CHECK YOUR FACTS BAKLANG BROSAS. G NA G KA NA TAKAGA KAYA KAHIT WALANG KW… https://t.co/IuXymxAe3J
848791766853668864,RT @ItIzBiz: as Nancy Reagan would say, 'just say FUCKING NO!" or something like that... https://t.co/ZaxB2gCq5v
848730081409335296,seriously - right - what else would it take to make a senator stand up TREASON IS THE CHARGE - NO TO TRUMPS NOMINEE… https://t.co/qmnhClchTy
850010509969465344,RT @MailOnline: The Nazi death gas so horrific even Hitler feared using it https://t.co/pO2FiPVcnc
850433664890544128,I hate er chase because if the Bitch that works there she's literally evil
848619867506913282,RT @chevleia: don't hmu when u get tired of ur boring hoe ur boring now too
850411934205845504,RT @ashllyd: SICK OF BITCHES ON THE INTERNET 🐍🙅👉https://t.co/BkyqCFx64G @UKBloggers1 @FemaleBloggerRT @TheGirlGangHQ #fbloggers #fblchat @U…
850449456445235200,RT @Auria__: Can't even feel bad for females who are stuck on a nigga that disrespects them . You gon learn sis
850100742035836929,RT @nyctophil3: Pineapples do not belong on pizza. Y'all niggas are nasty.
847945888995708928,RT @electricpunany: i HATE how some of u ignore the fact that ur nigga cheated bc he WANTED to. not bc some girl didn't care that he had a…
849282894682050564,But he still with the shits so he started smoking and drinking (bad combo) probably looking like ... https://t.co/GWLVBxkGgh
848491429517295616,RT @Configa: April Fools fucking #dope If you ain't feeling this than you have rigor mortis, dummy!! #hiphop #boombap #goldenera… https://t…
850455815001522176,RT @GarryBoom: With a fucking PENCIL! @JohnWickMovie https://t.co/JiFc3Qkloy
847534226413105152,Not having access to my money is fucking pissing me off!!!!
847804507367100416,Niggas keep talking about women wearing weave but be sick when a bitch up a fro on they ass. 😭
849562231129993216,"God, you're fucking pathetic." https://t.co/ugvCc03GzC
847851483571814400,You Worried About Somebody Bein Ugly... Bitch You Ugly...
850344984742174720,Carlos Correa had gyalchester as his walkup music and it was so bad ass 😂
848668638869671939,Damn dean just put Corbin to sleep. That Match Also Showed why It Was On Pre show. Boring as fuck
850660404770590720,"THE FORCE AWAKENS: A Bad Lip Reading" (Featuring Mark Hamill as Han Solo) https://t.co/hWWWMPP03c
848638037231906817,I hate a ol I forgot my Wallet at home but I have my ID ass bitch!!!
850090319165050880,@vappywave idiot that's not gonna work. you gotta put flame stickers on it to make it go faster
850090043423281152,*pours gatorade into my computer to make it run faster*
848610228967010305,RT @dawseyslinstead: i just want to cry so fucking bad look at them https://t.co/FaxDU5fI3m
849636831033532417,RT @AndyRichter: Jesus, the Get Out sequel looks fucking terrifying https://t.co/cJRwj2QjzP
848866727429455872,RT @antoniodelotero: 2. i'm a bad bitch you can't kill me https://t.co/mI0xmuNbfM
848926030723031040,RT @HeeeyMonica: Papaya has to be the worst fruit ever
850311262504407044,RT @mackym1996: He is a fucking idiot. I swear https://t.co/Cy9cNUNBlZ
848455845021196288,This is one ass extended April fools I pray someone just says it's a bad joke
848975292794318848,@Pineaqples @DenialEsports btw I watched where you watched my pov on stream and boii do I feel retarded
848974465681641472,oh yeah, we're 5 subs away from 900. &lt;3 https://t.co/kSQCCOljc1
847496569947422725,I hate yo ass for this😂😂but you already know yea💯 https://t.co/xnV342XdUa
847444345125044224,Oooouuuu 🙈 https://t.co/UriLo8yfjr
849054770694434816,RT @Kimberley1222: Disgusting. Insulting. Parks are NOT a charity. Give them a fucking budget, asshole.  @realDonaldTrump  #TheResistance #…
849051519911682048,Trump to Donate First Quarter Salary to Parks Service https://t.co/Q507rDAqKB via @thedailybeast
